一	 yi_1
情况	 qing_2 kuang_4
情怀	 qing_2 huai_2
情敌	 qing_2 di_2
情歌	 qing_2 ge_1
情殇	 qing_2 shang_1
情缘	 qing_2 yuan_2
情调	 qing_2 diao_4
情迷	 qing_2 mi_2
惊天动地	 jing_1 tian_1 dong_4 di_4
惊悚	 jing_1 song_3
惊涛骇浪	 jing_1 tao_1 hai_4 lang_4
惊艳	 jing_1 yan_4
惊蛰	 jing_1 zhe_2
惊雷	 jing_1 lei_2
惜	 xi_1
惜福	 xi_1 fu_2
惠	 hui_4
惠东	 hui_4 dong_1
惠农	 hui_4 nong_2
惠农区	 hui_4 nong_2 qu_1
惠城区	 hui_4 cheng_2 qu_1
惠安	 hui_4 an_1
惠山	 hui_4 shan_1
惠山区	 hui_4 shan_1 qu_1
惠州	 hui_4 zhou_1
惠州市	 hui_4 zhou_1 shi_4
惠普	 hui_4 pu_3
惠民	 hui_4 min_2
惠民县	 hui_4 min_2 xian_4
惠济	 hui_4 ji_4
惠灵顿	 hui_4 ling_2 dun_4
惠阳	 hui_4 yang_2
惠阳区	 hui_4 yang_2 qu_1
惠顾	 hui_4 gu_4
惩罚	 cheng_2 fa_2
想	 xiang_3
想一想	 xiang_3 yi_1 xiang_3
想到	 xiang_3 dao_4
想去	 xiang_3 qu_4
想定	 xiang_3 ding_4
想开	 xiang_3 kai_1
想念	 xiang_3 nian_4
想想	 xiang_3 xiang_3
想来	 xiang_3 lai_2
想要	 xiang_3 yao_4
想起	 xiang_3 qi_3
惹	 re_3
愁	 chou_2
愉	 yu_2
愉快	 yu_2 kuai_4
意	 yi_4
意义	 yi_4 yi_4
意外	 yi_4 wai_4
意大利	 yi_4 da_4 li_4
意思	 yi_4 si_1
意料之中	 yi_4 liao_4 zhi_1 zhong_1
意象	 yi_4 xiang_4
意面	 yi_4 mian_4
愚	 yu_2
愚公	 yu_2 gong_1
愛	 ai_4
感	 gan_3
感冒	 gan_3 mao_4
感到	 gan_3 dao_4
感受一下	 gan_3 shou_4 yi_1 xia_4
感恩	 gan_3 en_1
感恩节	 gan_3 en_1 jie_2
感觉	 gan_3 jue_2
愤怒	 fen_4 nu_4
愧于	 kui_4 yu_2
愿	 yuan_4
愿望	 yuan_4 wang_4
慈	 ci_2
慈云寺	 ci_2 yun_2 si_4
慈利县	 ci_2 li_4 xian_4
慈善	 ci_2 shan_4
慈溪	 ci_2 xi_1
慈溪市	 ci_2 xi_1 shi_4
慈祥	 ci_2 xiang_2
慕	 mu_4
慕田峪长城	 mu_4 tian_2 yu_4 chang_2 cheng_2
慢	 man_4
慢动作	 man_4 dong_4 zuo_4
慢性病	 man_4 xing_4 bing_4
慢慢	 man_4 man_4
慢车	 man_4 che_1
慧	 hui_4
慧心	 hui_4 xin_1
憨	 han_1
懂	 dong_3
懂吗	 dong_3 ma_0
懂得	 dong_3 de_0
懿	 yi_4
懿德	 yi_4 de_2
戍	 shu_4
戏	 xi_4
戏剧	 xi_4 ju_4
戏曲	 xi_4 qu_3
戏说	 xi_4 shuo_1
戏院	 xi_4 yuan_4
成	 cheng_2
成为	 cheng_2 wei_2
成人	 cheng_2 ren_2
成全	 cheng_2 quan_2
成功	 cheng_2 gong_1
成华区	 cheng_2 hua_2 qu_1
成吉思汗	 cheng_2 ji_2 si_1 han_2
成名	 cheng_2 ming_2
成名曲	 cheng_2 ming_2 qu_1
成品	 cheng_2 pin_3
成天	 cheng_2 tian_1
成套	 cheng_2 tao_4
成家	 cheng_2 jia_1
成山	 cheng_2 shan_1
成康	 cheng_2 kang_1
成教	 cheng_2 jiao_4
成林	 cheng_2 lin_2
成武县	 cheng_2 wu_3 xian_4
成法	 cheng_2 fa_3
成渝	 cheng_2 yu_2
成王败寇	 cheng_2 wang_2 bai_4 kou_4
成立	 cheng_2 li_4
成都	 cheng_2 du_1
成都双流机场	 cheng_2 du_1 shuang_1 liu_2 ji_1 chang_3
成都地区	 cheng_2 du_1 di_4 qu_1
成都市	 cheng_2 du_1 shi_4
成都市政府	 cheng_2 du_1 shi_4 zheng_4 fu_3
成都电子科技大学	 cheng_2 du_1 dian_4 zi_0 ke_1 ji_4 da_4 xue_2
成都路	 cheng_2 du_1 lu_4
成长	 cheng_2 zhang_3
成风	 cheng_2 feng_1
成龙	 cheng_2 long_2
我	 wo_3
我为歌狂	 wo_3 wei_4 ge_1 kuang_2
我们	 wo_3 men_0
我会	 wo_3 hui_4
我家	 wo_3 jia_1
我心	 wo_3 xin_1
我想	 wo_3 xiang_3
我想听	 wo_3 xiang_3 ting_1
我想看	 wo_3 xiang_3 kan_4
我想要	 wo_3 xiang_3 yao_4
我爱你	 wo_3 ai_4 ni_3
我要住	 wo_3 yao_4 zhu_4
我要去	 wo_3 yao_4 qu_4
我要听	 wo_3 yao_4 ting_1
我需要	 wo_3 xu_1 yao_4
戒	 jie_4
戒烟	 jie_4 yan_1
或	 huo_4
或者	 huo_4 zhe_3
战	 zhan_4
战争	 zhan_4 zheng_1
战区	 zhan_4 qu_1
战友	 zhan_4 you_3
战士	 zhan_4 shi_4
战歌	 zhan_4 ge_1
战舰	 zhan_4 jian_4
战队	 zhan_4 dui_4
战马	 zhan_4 ma_3
戚	 qi_1
截	 jie_2
截图	 jie_2 tu_2
戬	 jian_3
戴	 dai_4
戴佩妮	 dai_4 pei_4 ni_1
戴娆	 dai_4 rao_2
戴爱玲	 dai_4 ai_4 ling_2
户	 hu_4
户县	 hu_4 xian_4
户外活动	 hu_4 wai_4 huo_2 dong_4
户外运动	 hu_4 wai_4 yun_4 dong_4
户部	 hu_4 bu_4
房	 fang_2
房东	 fang_2 dong_1
房产交易	 fang_2 chan_3 jiao_1 yi_4
房产局	 fang_2 chan_3 ju_2
房价	 fang_2 jia_4
房县	 fang_2 xian_4
房地产	 fang_2 di_4 chan_3
房子	 fang_2 zi_0
房屋	 fang_2 wu_1
房山	 fang_2 shan_1
房山区	 fang_2 shan_1 qu_1
房管局	 fang_2 guan_3 ju_2
房管所	 fang_2 guan_3 suo_3
房车	 fang_2 che_1
房间	 fang_2 jian_1
所	 suo_3
所以	 suo_3 yi_3
所在	 suo_3 zai_4
所在位置	 suo_3 zai_4 wei_4 zhi_4
所在地	 suo_3 zai_4 di_4
所有	 suo_3 you_3
所有人	 suo_3 you_3 ren_2
所知	 suo_3 zhi_1
扁担	 bian_3 dan_4
扇	 shan_4
手	 shou_3
手册	 shou_3 ce_4
手写	 shou_3 xie_3
手心	 shou_3 xin_1
手拉手	 shou_3 la_1 shou_3
手机	 shou_3 ji_1
手机号	 shou_3 ji_1 hao_4
手机号码	 shou_3 ji_1 hao_4 ma_3
手绢	 shou_3 juan_4
手表	 shou_3 biao_3
才	 cai_2
才会赢	 cai_2 hui_4 ying_2
才能	 cai_2 neng_2
扎	 zha_1
扎兰屯市	 zha_1 lan_2 tun_2 shi_4
扎扎	 zha_1 zha_1
扑克	 pu_1 ke_4
打	 da_3
打出	 da_3 chu_1
打击乐	 da_3 ji_1 le_4
打到	 da_3 dao_4
打包	 da_3 bao_1
打包带	 da_3 bao_1 dai_4
打头	 da_3 tou_2
打开	 da_3 kai_1
打情骂俏	 da_3 qing_2 ma_4 qiao_4
打折	 da_3 zhe_2
打气	 da_3 qi_4
打炮	 da_3 pao_4
打球	 da_3 qiu_2
打电话	 da_3 dian_4 hua_4
打算	 da_3 suan_4
打车	 da_3 che_1
打通	 da_3 tong_1
打铁	 da_3 tie_3
打雷	 da_3 lei_2
托	 tuo_1
托斯卡纳	 tuo_1 si_1 ka_3 na_4
托福	 tuo_1 fu_2
托菲诺	 tuo_1 fei_1 nuo_4
扣	 kou_4
扣肉	 kou_4 rou_4
执法	 zhi_2 fa_3
执着	 zhi_2 zhuo_2
执行	 zhi_2 xing_2
扫	 sao_3
扫毒	 sao_3 du_2
扬	 yang_2
扬中市	 yang_2 zhong_1 shi_4
扬名	 yang_2 ming_2
扬子	 yang_2 zi_0
扬子江	 yang_2 zi_0 jiang_1
扬州	 yang_2 zhou_1
扬州市	 yang_2 zhou_1 shi_4
扬琴	 yang_2 qin_2
扭腰	 niu_3 yao_1
扯	 che_3
扯铃	 che_3 ling_2
扶	 fu_2
扶正	 fu_2 zheng_4
扶沟县	 fu_2 gou_1 xian_4
扶疏	 fu_2 shu_1
扶苗	 fu_2 miao_2
批发	 pi_1 fa_1
批发市场	 pi_1 fa_1 shi_4 chang_3
批在	 pi_1 zai_4
找	 zhao_3
找一个	 zhao_3 yi_2 ge_4
找一家	 zhao_3 yi_1 jia_1
找个	 zhao_3 ge_4
找出	 zhao_3 chu_1
找到	 zhao_3 dao_4
找找看	 zhao_3 zhao_3 kan_4
承	 cheng_2
承德	 cheng_2 de_2
承德市	 cheng_2 de_2 shi_4
承认	 cheng_2 ren_4
承诺	 cheng_2 nuo_4
技	 ji_4
技嘉	 ji_4 jia_1
技工学校	 ji_4 gong_1 xue_2 xiao_4
技师	 ji_4 shi_1
技术	 ji_4 shu_4
技术人员	 ji_4 shu_4 ren_2 yuan_2
技术学校	 ji_4 shu_4 xue_2 xiao_4
技术开发区	 ji_4 shu_4 kai_1 fa_1 qu_1
技校	 ji_4 xiao_4
技艺	 ji_4 yi_4
抄手	 chao_1 shou_3
把	 ba_3
把头	 ba_3 tou_2
把酒	 ba_3 jiu_3
把门	 ba_3 men_2
把风	 ba_3 feng_1
抑郁症	 yi_4 yu_4 zheng_4
抒情	 shu_1 qing_2
抓	 zhua_1
投	 tou_2
投资	 tou_2 zi_1
投递	 tou_2 di_4
抖	 dou_3
抗战	 kang_4 zhan_4
折	 zhe_2
折回	 zhe_2 hui_2
折扣	 zhe_2 kou_4
抚	 fu_3
抚仙湖	 fu_3 xian_1 hu_2
抚州	 fu_3 zhou_1
抚琴	 fu_3 qin_2
抚顺	 fu_3 shun_4
抚顺市	 fu_3 shun_4 shi_4
抛光	 pao_1 guang_1
护	 hu_4
护国寺	 hu_4 guo_2 si_4
护士	 hu_4 shi_4
护眼	 hu_4 yan_3
护航	 hu_4 hang_2
报	 bao_4
报名	 bao_4 ming_2
报告	 bao_4 gao_4
报告厅	 bao_4 gao_4 ting_1
报国寺	 bao_4 guo_2 si_4
报废	 bao_4 fei_4
报纸	 bao_4 zhi_3
披	 pi_1
披头士	 pi_1 tou_2 shi_4
披萨	 pi_1 sa_4
抱	 bao_4
抱抱	 bao_4 bao_4
抵达	 di_3 da_2
抽烟	 chou_1 yan_1
担心	 dan_1 xin_1
拆	 chai_1
拆卸	 chai_1 xie_4
拈花	 nian_1 hua_1
拉	 la_1
拉倒	 la_1 dao_3
拉各斯	 la_1 ge_4 si_1
拉屎	 la_1 shi_3
拉拉	 la_1 la_1
拉斐特	 la_1 fei_3 te_4
拉曼	 la_1 man_4
拉菲	 la_1 fei_1
拉菲特	 la_1 fei_1 te_4
拉萨	 la_1 sa_4
拉萨市	 la_1 sa_4 shi_4
拉面	 la_1 mian_4
拉面馆	 la_1 mian_4 guan_3
拌	 ban_4
拍	 pai_1
拍手歌	 pai_1 shou_3 ge_1
拍照	 pai_1 zhao_4
拐	 guai_3
拒接	 ju_4 jie_1
拒绝	 ju_4 jue_2
拓	 ta_4
拔	 ba_2
拔萃	 ba_2 cui_4
拔萝卜	 ba_2 luo_2 bo_0
拖	 tuo_1
拖动	 tuo_1 dong_4
拖回	 tuo_1 hui_2
拙政园	 zhuo_1 zheng_4 yuan_2
招	 zhao_1
招商	 zhao_1 shang_1
招商局	 zhao_1 shang_1 ju_2
招商银行	 zhao_1 shang_1 yin_2 hang_2
招待所	 zhao_1 dai_4 suo_3
招标	 zhao_1 biao_1
招生	 zhao_1 sheng_1
招行	 zhao_1 hang_2
招贤	 zhao_1 xian_2
招远	 zhao_1 yuan_3
拜	 bai_4
拜尔	 bai_4 er_3
拜托	 bai_4 tuo_1
拜拜	 bai_4 bai_4
拥	 yong_1
拥堵	 yong_1 du_3
拥抱	 yong_1 bao_4
拥挤	 yong_1 ji_3
拨	 bo_1
拨出	 bo_1 chu_1
拨号	 bo_1 hao_4
拨子	 bo_1 zi_0
拨打	 bo_1 da_3
拨浪鼓	 bo_1 lang_4 gu_3
拨电话	 bo_1 dian_4 hua_4
拨给	 bo_1 gei_3
拨通	 bo_1 tong_1
拯救	 zheng_3 jiu_4
拱	 gong_3
拱北	 gong_3 bei_3
拱墅区	 gong_3 shu_4 qu_1
拳	 quan_2
拼	 pin_1
拼音	 pin_1 yin_1
拾	 shi_2
拿	 na_2
持	 chi_2
持续	 chi_2 xu_4
挂	 gua_4
挂住	 gua_4 zhu_4
挂绿	 gua_4 lv_4
指	 zhi_3
指令	 zhi_3 ling_4
指定	 zhi_3 ding_4
指导	 zhi_3 dao_3
指尖	 zhi_3 jian_1
指挥	 zhi_3 hui_1
指数	 zhi_3 shu_4
指环	 zhi_3 huan_2
指针	 zhi_3 zhen_1
挈领	 qie_4 ling_3
按	 an_4
按摩	 an_4 mo_2
按摩房	 an_4 mo_2 fang_2
按照	 an_4 zhao_4
按钮	 an_4 niu_3
挖	 wa_1
挚爱	 zhi_4 ai_4
挡	 dang_3
挡风	 dang_3 feng_1
挨着	 ai_1 zhe_0
挪威	 nuo_2 wei_1
振	 zhen_4
振兴	 zhen_4 xing_1
振兴区	 zhen_4 xing_1 qu_1
振兴路	 zhen_4 xing_1 lu_4
振华	 zhen_4 hua_2
振奋	 zhen_4 fen_4
振安区	 zhen_4 an_1 qu_1
挺	 ting_3
挽留	 wan_3 liu_2
捉	 zhuo_1
捉妖	 zhuo_1 yao_1
捍卫	 han_4 wei_4
捕手	 bu_3 shou_3
捞	 lao_1
捞饭	 lao_1 fan_4
换	 huan_4
换上	 huan_4 shang_4
换下	 huan_4 xia_4
换乘	 huan_4 cheng_2
换人	 huan_4 ren_2
换到	 huan_4 dao_4
换回	 huan_4 hui_2
换成	 huan_4 cheng_2
换换	 huan_4 huan_4
换歌	 huan_4 ge_1
换点	 huan_4 dian_3
换胎	 huan_4 tai_1
捧起	 peng_3 qi_3
据说	 ju_4 shuo_1
捷	 jie_2
捷达	 jie_2 da_2
掀开	 xian_1 kai_1
掇	 duo_1
授	 shou_4
掉	 diao_4
掉头	 diao_4 tou_2
掌	 zhang_3
掌握	 zhang_3 wo_4
掌柜的	 zhang_3 gui_4 de_0
排	 pai_2
排列	 pai_2 lie_4
排名	 pai_2 ming_2
排子	 pai_2 zi_0
排序	 pai_2 xu_4
排档	 pai_2 dang_4
排空	 pai_2 kong_1
排行	 pai_2 hang_2
排行榜	 pai_2 hang_2 bang_3
排骨	 pai_2 gu_3
排骨汤	 pai_2 gu_3 tang_1
探	 tan_4
探奇	 tan_4 qi_2
探案	 tan_4 an_4
探矿	 tan_4 kuang_4
探索	 tan_4 suo_3
探路	 tan_4 lu_4
探险	 tan_4 xian_3
接	 jie_1
接下来	 jie_1 xia_4 lai_2
接力赛	 jie_1 li_4 sai_4
接受	 jie_1 shou_4
接听	 jie_1 ting_1
接待	 jie_1 dai_4
接待室	 jie_1 dai_4 shi_4
接收站	 jie_1 shou_1 zhan_4
接班人	 jie_1 ban_1 ren_2
接电话	 jie_1 dian_4 hua_4
接着	 jie_1 zhe_0
接过	 jie_1 guo_4
接通	 jie_1 tong_1
控	 kong_4
控制	 kong_4 zhi_4
控制中心	 kong_4 zhi_4 zhong_1 xin_1
控制技术	 kong_4 zhi_4 ji_4 shu_4
控江路	 kong_4 jiang_1 lu_4
控股	 kong_4 gu_3
控股集团	 kong_4 gu_3 ji_2 tuan_2
推	 tui_1
推开	 tui_1 kai_1
推拿	 tui_1 na_2
推荐	 tui_1 jian_4
描述	 miao_2 shu_4
提	 ti_2
提供	 ti_2 gong_1
提到	 ti_2 dao_4
提前	 ti_2 qian_2
提取	 ti_2 qu_3
提示	 ti_2 shi_4
提神	 ti_2 shen_2
提篮桥	 ti_2 lan_2 qiao_2
提醒	 ti_2 xing_3
提高	 ti_2 gao_1
插	 cha_1
插曲	 cha_1 qu_3
插画	 cha_1 hua_4
揭东县	 jie_1 dong_1 xian_4
揭西县	 jie_1 xi_1 xian_4
揭阳	 jie_1 yang_2
揭阳市	 jie_1 yang_2 shi_4
揽	 lan_3
搁浅	 ge_1 qian_3
搓	 cuo_1
搜	 sou_1
搜到	 sou_1 dao_4
搜寻	 sou_1 xun_2
搜查	 sou_1 cha_2
搜狗	 sou_1 gou_3
搜索	 sou_1 suo_3
搞	 gao_3
搬	 ban_1
搬迁	 ban_1 qian_1
搭	 da_1
搭车到	 da_1 che_1 dao_4
搭车去	 da_1 che_1 qu_4
携	 xie_2
携程	 xie_2 cheng_2
摄	 she_4
摄像头	 she_4 xiang_4 tou_2
摄影	 she_4 ying_3
摄影展	 she_4 ying_3 zhan_3
摄影师	 she_4 ying_3 shi_1
摄氏度	 she_4 shi_4 du_4
摇	 yao_2
摇头	 yao_2 tou_2
摇摆	 yao_2 bai_3
摇滚	 yao_2 gun_3
摇滚乐	 yao_2 gun_3 yue_4
摇滚歌曲	 yao_2 gun_3 ge_1 qu_3
摇滚音乐	 yao_2 gun_3 yin_1 yue_4
摇篮曲	 yao_2 lan_2 qu_3
摊	 tan_1
摔跤	 shuai_1 jiao_1
摘	 zhai_1
摩	 mo_2
摩天	 mo_2 tian_1
摩天轮	 mo_2 tian_1 lun_2
摩尔	 mo_2 er_3
摩托	 mo_2 tuo_1
摩托车	 mo_2 tuo_1 che_1
摩登	 mo_2 deng_1
摩罗	 mo_2 luo_2
摸	 mo_1
撤销	 che_4 xiao_1
播	 bo_1
播出来	 bo_1 chu_1 lai_2
播发	 bo_1 fa_1
播报	 bo_1 bao_4
播放	 bo_1 fang_4
播放列表	 bo_1 fang_4 lie_4 biao_3
播放器	 bo_1 fang_4 qi_4
播放权	 bo_1 fang_4 quan_2
播放歌曲	 bo_1 fang_4 ge_1 qu_1
播送	 bo_1 song_4
播音室	 bo_1 yin_1 shi_4
撸	 lu_1
操	 cao_1
操作	 cao_1 zuo_4
操作方法	 cao_1 zuo_4 fang_1 fa_3
操场	 cao_1 chang_3
擦	 ca_1
攀枝花	 pan_1 zhi_1 hua_1
攀钢	 pan_1 gang_1
支	 zhi_1
支付宝	 zhi_1 fu_4 bao_3
支持	 zhi_1 chi_2
支线	 zhi_1 xian_4
支行	 zhi_1 xing_2
支路	 zhi_1 lu_4
支队	 zhi_1 dui_4
收	 shou_1
收入	 shou_1 ru_4
收听	 shou_1 ting_1
收录	 shou_1 lu_4
收看	 shou_1 kan_4
收藏	 shou_1 cang_2
收藏夹	 shou_1 cang_2 jia_1
收藏家	 shou_1 cang_2 jia_1
收藏该	 shou_1 cang_2 gai_1
收货	 shou_1 huo_4
收购	 shou_1 gou_4
收费	 shou_1 fei_4
收费口	 shou_1 fei_4 kou_3
收费站	 shou_1 fei_4 zhan_4
收进	 shou_1 jin_4
收钱	 shou_1 qian_2
收音机	 shou_1 yin_1 ji_1
改	 gai_3
改一改	 gai_3 yi_1 gai_3
改为	 gai_3 wei_2
改到	 gai_3 dao_4
改变	 gai_3 bian_4
改名	 gai_3 ming_2
改成	 gai_3 cheng_2
改用	 gai_3 yong_4
改装	 gai_3 zhuang_1
放	 fang_4
放下	 fang_4 xia_4
放假	 fang_4 jia_4
放入	 fang_4 ru_4
放冷风	 fang_4 leng_3 feng_1
放出	 fang_4 chu_1
放到	 fang_4 dao_4
放在	 fang_4 zai_4
放大	 fang_4 da_4
放开	 fang_4 kai_1
放开手	 fang_4 kai_1 shou_3
放心	 fang_4 xin_1
放手	 fang_4 shou_3
放映	 fang_4 ying_4
放松	 fang_4 song_1
放歌	 fang_4 ge_1
放牛郎	 fang_4 niu_2 lang_2
放生	 fang_4 sheng_1
放进	 fang_4 jin_4
政	 zheng_4
政务	 zheng_4 wu_4
政协	 zheng_4 xie_2
政和	 zheng_4 he_2
政府	 zheng_4 fu_3
政法	 zheng_4 fa_3
政法学院	 zheng_4 fa_3 xue_2 yuan_4
政通	 zheng_4 tong_1
故	 gu_4
故乡	 gu_4 xiang_1
故乡情	 gu_4 xiang_1 qing_2
故事	 gu_4 shi_4
故人	 gu_4 ren_2
故宫	 gu_4 gong_1
故宫博物院	 gu_4 gong_1 bo_2 wu_4 yuan_4
故居	 gu_4 ju_1
故里	 gu_4 li_3
效	 xiao_4
效果	 xiao_4 guo_3
敏	 min_3
救援	 jiu_4 yuan_2
敕勒歌	 chi_4 lei_1 ge_1
敖	 ao_2
敖包	 ao_2 bao_1
教	 jiao_4
教会	 jiao_4 hui_4
教务	 jiao_4 wu_4
教堂	 jiao_4 tang_2
教工路	 jiao_4 gong_1 lu_4
教我如何	 jiao_4 wo_3 ru_2 he_2
教教	 jiao_4 jiao_4
教科院	 jiao_4 ke_1 yuan_4
教程	 jiao_4 cheng_2
教练	 jiao_4 lian_4
教给	 jiao_1 gei_3
教育	 jiao_4 yu_4
教育局	 jiao_4 yu_4 ju_2
敞	 chang_3
敢	 gan_3
敢不敢	 gan_3 bu_4 gan_3
敢死队	 gan_3 si_3 dui_4
散	 san_4
散场	 san_4 chang_3
散文诗	 san_3 wen_2 shi_1
散步	 san_4 bu_4
敦	 dun_1
敦化	 dun_1 hua_4
敦煌	 dun_1 huang_2
敬	 jing_4
敬业	 jing_4 ye_4
敬老	 jing_4 lao_3
敬老院	 jing_4 lao_3 yuan_4
数	 shu_4
数一数二	 shu_3 yi_1 shu_3 er_4
数字	 shu_4 zi_4
数学	 shu_4 xue_2
数据	 shu_4 ju_4
数码	 shu_4 ma_3
数码城	 shu_4 ma_3 cheng_2
数码宝贝	 shu_4 ma_3 bao_3 bei_4
数码广场	 shu_4 ma_3 guang_3 chang_3
数码影像	 shu_4 ma_3 ying_3 xiang_4
敲起来	 qiao_1 qi_3 lai_2
整	 zheng_3
整到	 zheng_3 dao_4
整形医院	 zheng_3 xing_2 yi_1 yuan_4
整形外科	 zheng_3 xing_2 wai_4 ke_1
文	 wen_2
文三路	 wen_2 san_1 lu_4
文件	 wen_2 jian_4
文体	 wen_2 ti_3
文光	 wen_2 guang_1
文化	 wen_2 hua_4
文化产业	 wen_2 hua_4 chan_3 ye_4
文化传媒	 wen_2 hua_4 chuan_2 mei_2
文化公园	 wen_2 hua_4 gong_1 yuan_2
文化区	 wen_2 hua_4 qu_1
文化名人	 wen_2 hua_4 ming_2 ren_2
文化园	 wen_2 hua_4 yuan_2
文化城	 wen_2 hua_4 cheng_2
文化宫	 wen_2 hua_4 gong_1
文化用品	 wen_2 hua_4 yong_4 pin_3
文化街	 wen_2 hua_4 jie_1
文化路	 wen_2 hua_4 lu_4
文化部	 wen_2 hua_4 bu_4
文化馆	 wen_2 hua_4 guan_3
文华	 wen_2 hua_2
文华路	 wen_2 hua_2 lu_4
文县	 wen_2 xian_4
文园	 wen_2 yuan_2
文城	 wen_2 cheng_2
文塔	 wen_2 ta_3
文字	 wen_2 zi_4
文学馆	 wen_2 xue_2 guan_3
文安	 wen_2 an_1
文安县	 wen_2 an_1 xian_4
文定	 wen_2 ding_4
文山	 wen_2 shan_1
文山州	 wen_2 shan_1 zhou_1
文峰	 wen_2 feng_1
文庙	 wen_2 miao_4
文心	 wen_2 xin_1
文成	 wen_2 cheng_2
文昌	 wen_2 chang_1
文昌市	 wen_2 chang_1 shi_4
文昌街	 wen_2 chang_1 jie_1
文明	 wen_2 ming_2
文星	 wen_2 xing_1
文景	 wen_2 jing_3
文林街	 wen_2 lin_2 jie_1
文武	 wen_2 wu_3
文汇	 wen_2 hui_4
文津街	 wen_2 jin_1 jie_1
文渊阁	 wen_2 yuan_1 ge_2
文澜	 wen_2 lan_2
文理学院	 wen_2 li_3 xue_2 yuan_4
文登	 wen_2 deng_1
文章	 wen_2 zhang_1
文艺	 wen_2 yi_4
文苑路	 wen_2 yuan_4 lu_4
文莱	 wen_2 lai_2
文龙	 wen_2 long_2
斉	 qi_2
斌	 bin_1
斐	 fei_3
斑	 ban_1
斑竹	 ban_1 zhu_2
斑马	 ban_1 ma_3
斗	 dou_4
斗牛士	 dou_4 niu_2 shi_4
斗笠	 dou_3 li_4
斗门	 dou_3 men_2
料	 liao_4
料理	 liao_4 li_3
料理店	 liao_4 li_3 dian_4
斜	 xie_2
斜土路	 xie_2 tu_3 lu_4
斜桥	 xie_2 qiao_2
断	 duan_4
断桥	 duan_4 qiao_2
断点	 duan_4 dian_3
斯	 si_1
斯图加特	 si_1 tu_2 jia_1 te_4
斯威夫特	 si_1 wei_1 fu_1 te_4
斯定理	 si_1 ding_4 li_3
斯普瑞	 si_1 pu_3 rui_4
斯柯达	 si_1 ke_1 da_2
新	 xin_1
新一佳	 xin_1 yi_1 jia_1
新专辑	 xin_1 zhuan_1 ji_2
新世界	 xin_1 shi_4 jie_4
新世纪	 xin_1 shi_4 ji_4
新东安	 xin_1 dong_1 an_1
新东方	 xin_1 dong_1 fang_1
新丰	 xin_1 feng_1
新乐	 xin_1 le_4
新乐县	 xin_1 le_4 xian_4
新乡	 xin_1 xiang_1
新乡市	 xin_1 xiang_1 shi_4
新亚	 xin_1 ya_4
新亮点	 xin_1 liang_4 dian_3
新会区	 xin_1 hui_4 qu_1
新余	 xin_1 yu_2
新作	 xin_1 zuo_4
新光	 xin_1 guang_1
新兴	 xin_1 xing_1
新兴路	 xin_1 xing_1 lu_4
新农	 xin_1 nong_2
新加坡	 xin_1 jia_1 po_1
新化	 xin_1 hua_4
新化县	 xin_1 hua_4 xian_4
新北区	 xin_1 bei_3 qu_1
新区	 xin_1 qu_1
新华	 xin_1 hua_2
新华书店	 xin_1 hua_2 shu_1 dian_4
新华区	 xin_1 hua_2 qu_1
新华街	 xin_1 hua_2 jie_1
新华路	 xin_1 hua_2 lu_4
新历	 xin_1 li_4
新县	 xin_1 xian_4
新号	 xin_1 hao_4
新园	 xin_1 yuan_2
新型	 xin_1 xing_2
新城	 xin_1 cheng_2
新城区	 xin_1 cheng_2 qu_1
新塘	 xin_1 tang_2
新声	 xin_1 sheng_1
新大新	 xin_1 da_4 xin_1
新大洲	 xin_1 da_4 zhou_1
新天地	 xin_1 tian_1 di_4
新娘	 xin_1 niang_2
新宁	 xin_1 ning_2
新安	 xin_1 an_1
新家园	 xin_1 jia_1 yuan_2
新居	 xin_1 ju_1
新屋	 xin_1 wu_1
新平	 xin_1 ping_2
新平镇	 xin_1 ping_2 zhen_4
新年	 xin_1 nian_2
新年好	 xin_1 nian_2 hao_3
新年快乐	 xin_1 nian_2 kuai_4 le_4
新庄市	 xin_1 zhuang_1 shi_4
新店	 xin_1 dian_4
新建	 xin_1 jian_4
新开路	 xin_1 kai_1 lu_4
新开铺	 xin_1 kai_1 pu_4
新式	 xin_1 shi_4
新文化	 xin_1 wen_2 hua_4
新星	 xin_1 xing_1
新春	 xin_1 chun_1
新景	 xin_1 jing_3
新曲	 xin_1 qu_1
新月	 xin_1 yue_4
新村	 xin_1 cun_1
新松	 xin_1 song_1
新桥	 xin_1 qiao_2
新桥镇	 xin_1 qiao_2 zhen_4
新楼	 xin_1 lou_2
新款	 xin_1 kuan_3
新歌	 xin_1 ge_1
新民	 xin_1 min_2
新民路	 xin_1 min_2 lu_4
新江	 xin_1 jiang_1
新沂	 xin_1 yi_2
新沂市	 xin_1 yi_2 shi_4
新沙	 xin_1 sha_1
新河	 xin_1 he_2
新泰市	 xin_1 tai_4 shi_4
新津	 xin_1 jin_1
新津县	 xin_1 jin_1 xian_4
新洲	 xin_1 zhou_1
新洲区	 xin_1 zhou_1 qu_1
新浦区	 xin_1 pu_3 qu_1
新浪	 xin_1 lang_4
新海	 xin_1 hai_3
新港	 xin_1 gang_3
新港路	 xin_1 gang_3 lu_4
新湖	 xin_1 hu_2
新源	 xin_1 yuan_2
新滩	 xin_1 tan_1
新潮	 xin_1 chao_2
新燕莎	 xin_1 yan_4 sha_1
新版	 xin_1 ban_3
